id_num,item_area_num,item_area,item_title_num,item_title,item_content,usage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,배경변인,1,AI/디지털을 한마디로 하면?,SW/AI/디지털 하면 떠오르는 것은?,3,,,,,,,,,,,,,,,,,
1,1,배경변인,2,시도,소속 시도는 어디인가요?,1,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
2,1,배경변인,3,경력정도,교육 경력은 어떻게 되나요?,1,1~5년,6~10년,11~15년,16~20년,21~25년,26~30년,30~35년,36년이상,,,,,,,,,
3,1,배경변인,4,학교급,소속 학교급은 무엇인가요?,1,유치원,초등학교,중학교,고등학교,,,,,,,,,,,,,
4,1,배경변인,4,학교급,"중학교인 경우, 종류는 무엇인가요?",1,일반 공립/사립중학교,예술중학교,국제중학교,기타,,,,,,,,,,,,,
5,1,배경변인,4,학교급,"고등학교인 경우, 종류는 무엇인가요?",1,일반계고,자율형고,특성화고,외국어고,과학고,국제고,예술/체육고,마이스터고,영재고,기타,,,,,,,
6,1,배경변인,5,담당교과목,담당 교과목은 무엇인가요?,3,,,,,,,,,,,,,,,,,
7,2,연수실태(참여정도),6,컴퓨팅사고력에 연수 경험,컴퓨팅사고력 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
8,2,연수실태(참여정도),7,AI/SW교육에 대한 연수 경험,AI/SW교육 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
9,2,연수실태(참여정도),8,디지털 리터러시에 대한 연수 경험,디지털 리터러시 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
10,2,연수실태(참여정도),9,디지털 기반 교수설계에 대한 연수 경험,SW/AI/디지털 활용 교수설계 관련 연수 이수 경험은 어느 정도인가요?,1,0회,1~2회,3~4회,5~6회,7회 이상,,,,,,,,,,,,
11,2,연수실태(참여정도),10,(기타) SW/AI/디지털 관련 연수 경험,"위 주제 외에, SW/AI/디지털 관련해 받았던 연수 내용은 무엇인가요?",3,,,,,,,,,,,,,,,,,
12,3,역량인지,11,컴퓨팅사고력에 대한 역량 인지,컴퓨팅사고력에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
13,3,역량인지,12,AI/SW교육에 대한 역량 인지,AI/SW교육에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
14,3,역량인지,13,디지털 리터러시에 대한 역량 인지,디지털 리터러시에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
15,3,역량인지,14,디지털 기반 교수설계에 대한 역량 인지,SW/AI/디지털 활용 교수설계에 대한 역량은 어느 정도 인가요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
16,4,연수실태(부족/충분여부),15,컴퓨팅사고 연수 실태,컴퓨팅사고력에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
17,4,연수실태(부족/충분여부),16,AI/SW교육 연수 실태,AI/SW교육에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
18,4,연수실태(부족/충분여부),17,디지털 리터러시 연수 실태,디지털 리터러시에 대한 연수는 충분하다고 생각하나요?,2,매우 부족하다,부족하다,보통이다,충분하다,매우 충분하다,,,,,,,,,,,,
