id_num,survey_title_num,survey_title,survey_content_num,survey_content,usage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,1,기초정보,1,1. 마스터/리더/일반교원 중 해당하는 곳에 체크해주세요.,1,마스터교원,리더교원,일반교원,,,,,,,,,,,,,,
1,1,기초정보,2,2. 연도를 체크해주세요.,1,23년,24년,25년,26년,27년,28년,29년,30년,,,,,,,,,
2,1,기초정보,3,3. 선생님의 기수를 입력해주세요.,3,,,,,,,,,,,,,,,,,
3,1,기초정보,4,4. 선생님의 성별은 무엇입니까?,1,남성,여성,,,,,,,,,,,,,,,
4,1,기초정보,5,5. 선생님이 재직하는 학교급은 무엇입니까?,1,초등학교,중학교,고등학교,,,,,,,,,,,,,,
5,1,기초정보,6,6. 선생님의 담당 교과는 무엇입니까?,1,국어,영어,수학,사회,과학,음악,미술,체육,기술가정,정보,역사,특수,기타,,,,
6,1,기초정보,7,7. 선생님의 재직기간은 몇 년입니까?,1,3년 이하,4년~6년 사이,7년~9년 사이,10년~19년 사이,20년 이상,,,,,,,,,,,,
7,1,기초정보,8,8. 선생님의 소속 시ㆍ도는 무엇입니까?,1,강원,경기,경남,경북,광주,대구,대전,부산,서울,세종,울산,인천,전남,전북,제주,충남,충북
8,1,기초정보,9,9. 선생님의 재직학교 규모는 무엇입니까?,1,6학급 이하,7~16학급 사이,17~29학급 사이,30학급 이상,,,,,,,,,,,,,
9,1,기초정보,10,10. 선생님의 재직학교 참여사업은 무엇입니까? (중복 응답 가능),4,선도학교,영재학급,교사연구회,기타,해당없음,,,,,,,,,,,,
10,1,기초정보,11,11. 선생님의 지난 4년(2019~2022년) 간 AI교육 관련 연수 참여시간은 몇 시간입니까?,1,30시간 이하,31시간~60시간 사이,61시간~90시간 사이,91시간~120시간 사이,121시간~180시간 사이,181시간 이상,,,,,,,,,,,
11,1,기초정보,12,12. 본 연수를 알게 된 경로는 무엇입니까?,1,교육청 공문 안내,연수원 홈페이지,소속학교 추천,주변 교사 추천,"이메일, SMS 안내",기타,,,,,,,,,,,
12,2,프로그램 만족도,1,1. 본 연수의 전반적인 교육과정 구성 및 내용에 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
13,2,프로그램 만족도,2,2. 연수 강사진에 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
14,2,프로그램 만족도,3,"3. 수업 현장 개선 기여 여부를 기준으로, 본 연수에 어느 정도 만족하셨습니까?",2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
15,2,프로그램 만족도,4,4. 본 연수에서 참여하신 소그룹 활동에 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
16,2,프로그램 만족도,5,5. 본 연수를 통해 학생들의 문제해결력 신장을 도울 수 있게 되었다고 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
17,2,프로그램 만족도,6,6. 본 연수를 통해 학생들의 AI에 관련한 흥미를 높일 수 있게 되었다고 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
18,2,프로그램 만족도,7,7. 본 연수가 선생님의 AI교육 역량 강화에 도움이 되었다고 생각하십니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
19,3,운영 만족도,1,"1. 신청절차, 공문, 안내 등 행정절차에 어느 정도 만족하셨습니까?",2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
20,3,운영 만족도,2,2. 교재 등 참가자에 대한 지원에 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
21,3,운영 만족도,3,3. 실시간 쌍방향 온라인 교육에 대해 어느 정도 만족하셨습니까?,2,해당사항 없음,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,
22,3,운영 만족도,4,4. 전반적인 연수 진행에 어느 정도 만족하셨습니까?,2,매우 불만족,불만족,보통,만족,매우 만족,,,,,,,,,,,,
